date,all_bed,icu,vent,virtual_acute,snapshot
3/26/2020,24,9,7,2,3/26/2020 12:00
3/27/2020,34,13,7,4,3/27/2020 12:00
3/28/2020,40,13,10,3,3/28/2020 12:00
3/29/2020,47,14,14,3,3/29/2020 12:00
3/30/2020,48,21,19,3,3/30/2020 12:00
3/31/2020,51,22,19,3,3/31/2020 12:00
4/1/2020,61,23,19,2,4/1/2020 12:00
4/2/2020,58,27,18,4,4/2/2020 12:00
4/3/2020,69,28,18,4,4/3/2020 12:00
4/4/2020,72,30,20,4,4/4/2020 12:00
4/5/2020,72,34,20,6,4/5/2020 12:00
4/6/2020,82,35,23,6,4/6/2020 12:00
4/7/2020,81,35,25,9,4/7/2020 12:00
4/8/2020,77,34,26,9,4/8/2020 12:00
4/9/2020,74,31,24,13,4/9/2020 12:00
4/10/2020,69,31,23,12,4/10/2020 12:00
4/11/2020,64,34,26,12,4/11/2020 12:00
4/12/2020,89,30,26,13,4/12/2020 12:00
4/13/2020,62,33,23,17,4/13/2020 12:00
4/14/2020,67,38,25,13,4/14/2020 12:00
4/15/2020,63,36,23,18,4/15/2020 12:00
4/16/2020,73,36,25,24,4/16/2020 12:00
4/17/2020,77,31,18,18,4/17/2020 12:00
4/18/2020,72,32,20,17,4/18/2020 12:00
4/19/2020,77,28,18,17,4/19/2020 12:00
4/20/2020,75,26,19,14,4/20/2020 12:00
4/21/2020,92,28,15,14,4/21/2020 12:00
4/22/2020,85,24,16,17,4/22/2020 12:00
4/23/2020,88,27,16,15,4/23/2020 12:00
4/24/2020,88,25,14,16,4/24/2020 12:00
4/25/2020,92,24,14,17,4/25/2020 12:00
4/26/2020,90,23,14,13,4/26/2020 12:00
4/27/2020,88,21,14,13,4/27/2020 12:00
4/28/2020,90,25,15,9,4/28/2020 12:00
4/29/2020,90,24,16,13,4/29/2020 12:00
4/30/2020,78,26,16,13,4/30/2020 12:00
5/1/2020,73,27,14,6,5/1/2020 12:00
5/2/2020,76,23,11,7,5/2/2020 12:00
5/3/2020,72,21,12,6,5/3/2020 12:00
5/4/2020,72,20,12,6,5/4/2020 12:00
5/5/2020,73,23,12,9,5/5/2020 12:00
5/6/2020,74,16,10,9,5/6/2020 12:00
5/7/2020,70,18,12,4,5/7/2020 12:00
5/8/2020,59,17,11,0,5/8/2020 12:00
5/9/2020,58,20,10,0,5/9/2020 12:00
5/10/2020,56,20,14,0,5/10/2020 12:00
5/11/2020,55,18,15,0,5/11/2020 12:00
5/12/2020,57,19,15,0,5/12/2020 12:00
5/13/2020,48,20,15,0,5/13/2020 12:00
5/14/2020,43,19,12,0,5/14/2020 12:00
5/15/2020,42,17,11,0,5/15/2020 12:00
5/16/2020,45,19,11,0,5/16/2020 12:00
5/17/2020,49,18,12,0,5/17/2020 12:00
5/18/2020,54,23,12,0,5/18/2020 12:00
5/19/2020,60,22,14,0,5/19/2020 12:00
5/20/2020,62,24,15,0,5/20/2020 12:00
5/21/2020,59,27,17,0,5/21/2020 12:00
5/22/2020,61,27,19,0,5/22/2020 12:00
5/23/2020,70,31,20,0,5/23/2020 12:00
5/24/2020,77,33,19,0,5/24/2020 12:00
5/25/2020,84,33,22,0,5/25/2020 12:00
5/26/2020,84,34,21,0,5/26/2020 12:00
5/27/2020,79,34,21,0,5/27/2020 12:00
5/28/2020,86,33,19,0,5/28/2020 12:00
5/29/2020,81,31,18,0,5/29/2020 12:00
5/30/2020,79,34,19,0,5/30/2020 12:00
5/31/2020,85,39,21,0,5/31/2020 12:00
6/1/2020,90,37,21,0,6/1/2020 12:00
6/2/2020,85,40,20,0,6/2/2020 12:00
6/3/2020,78,38,23,0,6/3/2020 12:00
6/4/2020,84,40,24,0,6/4/2020 12:00
6/5/2020,88,42,25,0,6/5/2020 12:00
6/6/2020,94,42,26,0,6/6/2020 12:00
6/7/2020,101,43,24,0,6/7/2020 12:00
6/8/2020,92,45,26,0,6/8/2020 12:00
6/9/2020,89,46,27,0,6/9/2020 12:00
6/10/2020,99,46,31,0,6/10/2020 12:00
6/11/2020,107,44,32,0,6/11/2020 12:00
6/12/2020,113,48,30,0,6/12/2020 12:00
6/13/2020,121,49,30,0,6/13/2020 12:00
6/14/2020,126,47,33,0,6/14/2020 12:00
6/15/2020,118,43,32,0,6/15/2020 12:00
6/16/2020,118,45,31,0,6/16/2020 12:00
6/17/2020,115,49,29,0,6/17/2020 12:00
6/18/2020,122,51,30,0,6/18/2020 12:00
6/19/2020,135,53,27,0,6/19/2020 12:00
6/20/2020,130,52,21,0,6/20/2020 12:00
6/21/2020,135,53,20,0,6/21/2020 12:00
6/22/2020,146,47,20,0,6/22/2020 12:00
6/23/2020,149,47,23,0,6/23/2020 12:00
6/24/2020,146,51,24,0,6/24/2020 12:00
6/25/2020,153,45,21,0,6/25/2020 12:00
6/26/2020,144,42,21,1,6/26/2020 12:00
6/27/2020,155,45,18,1,6/27/2020 12:00
6/28/2020,151,45,21,1,6/28/2020 12:00
6/29/2020,156,52,20,1,6/29/2020 12:00
6/30/2020,153,52,22,2,6/30/2020 12:00
7/1/2020,175,53,24,2,7/1/2020 12:00
7/2/2020,176,55,22,2,7/2/2020 12:00
7/3/2020,185,51,24,3,7/3/2020 12:00
7/4/2020,197,50,26,4,7/4/2020 12:00
7/5/2020,183,51,25,4,7/5/2020 12:00
7/6/2020,172,52,30,10,7/6/2020 12:00
7/7/2020,163,54,29,14,7/7/2020 12:00
7/8/2020,180,62,34,23,7/8/2020 12:00
7/9/2020,207,63,37,28,7/9/2020 12:00
7/10/2020,191,61,35,28,7/10/2020 12:00
7/11/2020,191,58,32,16,7/11/2020 12:00
7/12/2020,188,55,28,19,7/12/2020 12:00
7/13/2020,185,56,30,19,7/13/2020 12:00
7/14/2020,189,51,30,17,7/14/2020 12:00
7/15/2020,195,53,28,21,7/15/2020 12:00
7/16/2020,206,59,30,21,7/16/2020 12:00
7/17/2020,196,60,31,21,7/17/2020 12:00
7/18/2020,195,62,35,25,7/18/2020 12:00
7/19/2020,197,69,36,24,7/19/2020 12:00
7/20/2020,210,69,36,16,7/20/2020 12:00
7/21/2020,195,69,36,21,7/21/2020 12:00
7/22/2020,201,66,37,15,7/22/2020 12:00
7/23/2020,199,70,40,19,7/23/2020 12:00
7/24/2020,201,74,39,23,7/24/2020 12:00
7/25/2020,218,75,41,22,7/25/2020 12:00
7/26/2020,234,82,43,10,7/26/2020 12:00
7/27/2020,230,82,44,9,7/27/2020 12:00
7/28/2020,238,84,47,16,7/28/2020 12:00
7/29/2020,218,85,40,18,7/29/2020 12:00
7/30/2020,209,84,44,16,7/30/2020 12:00
7/31/2020,206,82,46,19,7/31/2020 12:00
8/1/2020,202,86,48,17,8/1/2020 12:00
8/2/2020,195,85,48,16,8/2/2020 12:00
8/3/2020,216,83,42,16,8/3/2020 12:00
8/4/2020,223,78,39,26,8/4/2020 12:00
8/5/2020,204,72,38,28,8/5/2020 12:00
8/6/2020,199,74,42,28,8/6/2020 12:00
8/7/2020,198,70,40,18,8/7/2020 12:00
8/8/2020,207,70,41,22,8/8/2020 12:00
8/9/2020,199,63,37,22,8/9/2020 12:00
8/10/2020,196,69,37,19,8/10/2020 12:00
8/11/2020,198,68,41,17,8/11/2020 12:00
8/12/2020,190,62,46,17,8/12/2020 12:00
8/13/2020,181,66,43,19,8/13/2020 12:00
8/14/2020,172,60,42,20,8/14/2020 12:00
8/15/2020,178,60,39,20,8/15/2020 12:00
8/16/2020,190,59,38,19,8/16/2020 12:00
8/17/2020,201,63,38,22,8/17/2020 12:00
8/18/2020,191,65,36,22,8/18/2020 12:00
8/19/2020,176,58,37,20,8/19/2020 12:00
8/20/2020,185,54,34,22,8/20/2020 12:00
8/21/2020,171,49,34,25,8/21/2020 12:00
8/22/2020,172,48,33,24,8/22/2020 12:00
8/23/2020,175,50,33,24,8/23/2020 12:00
8/24/2020,185,53,35,18,8/24/2020 12:00
8/25/2020,178,52,33,18,8/25/2020 12:00
8/26/2020,168,60,35,16,8/26/2020 12:00
8/27/2020,171,58,35,19,8/27/2020 12:00
8/28/2020,165,56,40,19,8/28/2020 12:00
8/29/2020,157,57,39,21,8/29/2020 12:00
8/30/2020,161,52,37,19,8/30/2020 12:00
8/31/2020,168,50,36,14,8/31/2020 12:00
9/1/2020,180,62,37,19,9/1/2020 12:00
9/2/2020,172,57,37,19,9/2/2020 12:00
9/3/2020,152,56,34,19,9/3/2020 12:00
9/4/2020,165,58,39,15,9/4/2020 12:00
9/5/2020,174,62,40,14,9/5/2020 12:00
9/6/2020,163,60,39,15,9/6/2020 12:00
9/7/2020,160,64,35,15,9/7/2020 12:00
9/8/2020,166,64,35,18,9/8/2020 12:00
9/9/2020,166,58,34,17,9/9/2020 12:00
9/10/2020,153,59,34,9,9/10/2020 12:00
9/11/2020,140,55,34,14,9/11/2020 12:00
9/12/2020,137,57,35,14,9/12/2020 12:00
9/13/2020,140,57,37,17,9/13/2020 12:00
9/14/2020,136,51,32,16,9/14/2020 12:00
9/15/2020,145,53,31,19,9/15/2020 12:00
9/16/2020,138,55,27,21,9/16/2020 12:00
9/17/2020,135,49,26,18,9/17/2020 12:00
9/18/2020,137,48,26,15,9/18/2020 12:00
9/19/2020,117,46,28,15,9/19/2020 12:00
9/20/2020,112,44,21,9,9/20/2020 12:00
9/21/2020,114,43,21,13,9/21/2020 12:00
9/22/2020,124,42,20,17,9/22/2020 12:00
9/23/2020,122,40,20,13,9/23/2020 12:00
9/24/2020,117,37,22,6,9/24/2020 12:00
9/25/2020,110,32,20,9,9/25/2020 12:00
9/26/2020,118,32,19,10,9/26/2020 12:00
